agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Experiment_Number
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,1
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,2
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,3
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,4
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,5
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,6
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,7
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,8
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,9
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,0,False,10
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,1
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,2
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,109,0,0,True,3
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,4
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,5
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,6
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,107,0,0,True,7
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,109,0,0,True,8
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,9
180,random-32-32-20.map,planner,1,7178,4104,106,49,5897,4104,108,0,0,True,10
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,1
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,2
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,3
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,4
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,5
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,6
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,7
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,8
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,9
180,random-32-32-20.map,planner,1,7557,4104,76,49,6543,4104,4,0,1,False,10
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,361,0,1,True,1
180,random-32-32-20.map,planner,1,6908,4104,109,49,5880,4104,248,0,1,True,2
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,354,0,1,True,3
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,362,0,1,True,4
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,357,0,1,True,5
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,358,0,1,True,6
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,359,0,1,True,7
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,358,0,1,True,8
180,random-32-32-20.map,planner,1,6383,4104,75,49,5629,4104,360,0,1,True,9
180,random-32-32-20.map,planner,1,6908,4104,109,49,5880,4104,252,0,1,True,10
